🕘️更新时间,#genre#
2026-05-22 07:28:48,rtmp://39.108.129.193:1935/cctv1/1sao$订阅源

📺央视频道,#genre#
CCTV-1,rtmp://39.108.129.193:1935/cctv1/1sao$订阅源
CCTV-1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$订阅源
CCTV-1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$订阅源
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub$订阅源
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub$订阅源
CCTV-1,http://192.151.150.154/live/cctv1hd.m3u8$订阅源
CCTV-1,http://192.151.150.154/live/cctv1hd.m3u8$订阅源
CCTV-1,http://198.204.228.26/live/cctv1hd.m3u8$订阅源
CCTV-2,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$订阅源
CCTV-2,http://207.56.13.146:81/cdnlive/cctv2.m3u8$订阅源
CCTV-2,http://207.56.13.146:81/cdnlive/cctv2.m3u8$订阅源
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009$订阅源
CCTV-2,http://49.77.104.95:8554/rtp/239.49.8.130:6000$订阅源
CCTV-2,http://39.77.95.74:4002/rtp/239.253.254.232:8000$订阅源
CCTV-2,http://221.220.130.84:8012/rtp/239.3.1.60:8084$订阅源
CCTV-2,http://114.238.59.173:4000/rtp/239.49.8.130:6000$订阅源
CCTV-3,http://207.56.13.146:81/cdnlive/cctv3.m3u8$订阅源
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009$订阅源
CCTV-3,http://198.204.228.26/live/cctv3hd.m3u8$订阅源
CCTV-3,http://49.77.104.95:8554/rtp/239.49.1.3:6000$订阅源
CCTV-3,http://39.77.95.74:4002/rtp/239.253.254.191:8000$订阅源
CCTV-3,http://221.220.130.84:8012/rtp/239.3.1.172:8001$订阅源
CCTV-3,http://114.238.59.173:4000/rtp/239.49.1.3:6000$订阅源
CCTV-3,http://115.171.216.46:4000/rtp/225.1.8.88:8000$订阅源
CCTV-4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd$订阅源
CCTV-4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd$订阅源
CCTV-4,http://207.56.13.146:81/cdnlive/cctv4.m3u8$订阅源
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009$订阅源
CCTV-4,http://192.151.150.154/live/cctv4hd.m3u8$订阅源
CCTV-4,http://49.77.104.95:8554/rtp/239.49.8.131:6000$订阅源
CCTV-4,http://39.77.95.74:4002/rtp/239.253.254.111:8000$订阅源
CCTV-4,http://221.220.130.84:8012/rtp/239.3.1.105:8092$订阅源
CCTV-5,http://107.150.60.122/live/cctv5hd.m3u8$订阅源
CCTV-5,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd$订阅源
CCTV-5,http://207.56.13.146:81/cdnlive/cctv5.m3u8$订阅源
CCTV-5,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009$订阅源
CCTV-5,http://192.151.150.154/live/cctv5hd.m3u8$订阅源
CCTV-5,http://198.204.228.26/live/cctv5p.m3u8$订阅源
CCTV-5,http://49.77.104.95:8554/rtp/239.49.1.5:6000$订阅源
CCTV-5,http://39.77.95.74:4002/rtp/239.253.254.192:8000$订阅源
CCTV-5+,http://107.150.60.122/live/cctv5p.m3u8$订阅源
CCTV-5+,http://207.56.13.146:81/cdnlive/cctv5p.m3u8$订阅源
CCTV-5+,http://192.151.150.154/live/cctv5p.m3u8$订阅源
CCTV-5+,http://49.77.104.95:8554/rtp/239.49.8.18:9610$订阅源
CCTV-5+,http://39.77.95.74:4002/rtp/239.253.254.80:8000$订阅源
CCTV-5+,http://221.220.130.84:8012/rtp/239.3.1.130:8004$订阅源
CCTV-5+,http://114.238.59.173:4000/rtp/239.49.8.18:9610$订阅源
CCTV-5+,http://124.114.103.124:6789/rtp/239.111.205.13:5140$订阅源
CCTV-6,http://107.150.60.122/live/cctv6hd.m3u8$订阅源
CCTV-6,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd$订阅源
CCTV-6,http://207.56.13.146:81/cdnlive/cctv6.m3u8$订阅源
CCTV-6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009$订阅源
CCTV-6,http://198.204.228.26/live/cctv6hd.m3u8$订阅源
CCTV-6,http://49.77.104.95:8554/rtp/239.49.1.6:6000$订阅源
CCTV-6,http://39.77.95.74:4002/rtp/239.253.254.193:8000$订阅源
CCTV-6,http://221.220.130.84:8012/rtp/239.3.1.174:8001$订阅源
CCTV-7,http://107.150.60.122/live/cctv7hd.m3u8$订阅源
CCTV-7,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd$订阅源
CCTV-7,http://207.56.13.146:81/cdnlive/cctv7.m3u8$订阅源
CCTV-7,http://192.151.150.154/live/cctv7hd.m3u8$订阅源
CCTV-7,http://198.204.228.26/live/cctv7hd.m3u8$订阅源
CCTV-7,http://49.77.104.95:8554/rtp/239.49.1.254:6000$订阅源
CCTV-7,http://39.77.95.74:4002/rtp/239.253.254.233:8000$订阅源
CCTV-7,http://221.220.130.84:8012/rtp/239.3.1.61:8104$订阅源
CCTV-8,http://107.150.60.122/live/cctv8hd.m3u8$订阅源
CCTV-8,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8hd$订阅源
CCTV-8,http://207.56.13.146:81/cdnlive/cctv8.m3u8$订阅源
CCTV-8,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009$订阅源
CCTV-8,http://192.151.150.154/live/cctv8hd.m3u8$订阅源
CCTV-8,http://198.204.228.26/live/cctv8hd.m3u8$订阅源
CCTV-8,http://49.77.104.95:8554/rtp/239.49.1.8:6000$订阅源
CCTV-8,http://39.77.95.74:4002/rtp/239.253.254.194:8000$订阅源
CCTV-9,http://107.150.60.122/live/cctv9hd.m3u8$订阅源
CCTV-9,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd$订阅源
CCTV-9,http://207.56.13.146:81/cdnlive/cctv9.m3u8$订阅源
CCTV-9,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009$订阅源
CCTV-9,http://192.151.150.154/live/cctv9hd.m3u8$订阅源
CCTV-9,http://49.77.104.95:8554/rtp/239.49.8.53:9814$订阅源
CCTV-9,http://39.77.95.74:4002/rtp/239.253.254.79:8000$订阅源
CCTV-9,http://221.220.130.84:8012/rtp/239.3.1.62:8112$订阅源
CCTV-10,http://107.150.60.122/live/cctv10hd.m3u8$订阅源
CCTV-10,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv10hd$订阅源
CCTV-10,http://207.56.13.146:81/cdnlive/cctv10.m3u8$订阅源
CCTV-10,http://192.151.150.154/live/cctv10hd.m3u8$订阅源
CCTV-10,http://49.77.104.95:8554/rtp/239.49.8.134:6000$订阅源
CCTV-10,http://39.77.95.74:4002/rtp/239.253.254.234:8000$订阅源
CCTV-10,http://221.220.130.84:8012/rtp/239.3.1.63:8116$订阅源
CCTV-10,http://114.238.59.173:4000/rtp/239.49.8.134:6000$订阅源
CCTV-11,http://107.150.60.122/live/cctv11hd.m3u8$订阅源
CCTV-11,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv11hd$订阅源
CCTV-11,http://207.56.13.146:81/cdnlive/cctv11.m3u8$订阅源
CCTV-11,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009$订阅源
CCTV-11,http://49.77.104.95:8554/rtp/239.49.1.11:6000$订阅源
CCTV-11,http://39.77.95.74:4002/rtp/239.253.254.169:8000$订阅源
CCTV-11,http://221.220.130.84:8012/rtp/239.3.1.152:8120$订阅源
CCTV-11,http://114.238.59.173:4000/rtp/239.49.1.11:6000$订阅源
CCTV-12,http://107.150.60.122/live/cctv12hd.m3u8$订阅源
CCTV-12,http://207.56.13.146:81/cdnlive/cctv12.m3u8$订阅源
CCTV-12,http://38.75.136.137:98/gslb/dsdqbv/cctv12hd.m3u8?auth=test20251009$订阅源
CCTV-12,http://192.151.150.154/live/cctv12hd.m3u8$订阅源
CCTV-12,http://49.77.104.95:8554/rtp/239.49.8.135:6000$订阅源
CCTV-12,http://39.77.95.74:4002/rtp/239.253.254.235:8000$订阅源
CCTV-12,http://221.220.130.84:8012/rtp/239.3.1.64:8124$订阅源
CCTV-12,http://114.238.59.173:4000/rtp/239.49.8.135:6000$订阅源
CCTV-13,http://107.150.60.122/live/cctv13hd.m3u8$订阅源
CCTV-13,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv13hd$订阅源
CCTV-13,http://207.56.13.146:81/cdnlive/cctv13.m3u8$订阅源
CCTV-13,http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009$订阅源
CCTV-13,http://198.204.228.26/live/cctv13hd.m3u8$订阅源
CCTV-13,http://49.77.104.95:8554/rtp/239.49.1.13:6000$订阅源
CCTV-13,http://39.77.95.74:4002/rtp/239.253.254.175:8000$订阅源
CCTV-13,http://221.220.130.84:8012/rtp/239.3.1.124:8128$订阅源
CCTV-14,http://74.91.26.218:82/live/cctv14hd.m3u8$订阅源
CCTV-14,http://74.91.26.218:82/live/cctv14hd.m3u8$订阅源
CCTV-14,http://107.150.60.122/live/cctv14hd.m3u8$订阅源
CCTV-14,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv14hd$订阅源
CCTV-14,http://207.56.13.146:81/cdnlive/cctv14.m3u8$订阅源
CCTV-14,http://38.75.136.137:98/gslb/dsdqbv/cctv14hd.m3u8?auth=test20251009$订阅源
CCTV-14,http://192.151.150.154/live/cctv14hd.m3u8$订阅源
CCTV-14,http://49.77.104.95:8554/rtp/239.49.8.136:6000$订阅源
CCTV-15,http://74.91.26.218:82/live/cctv15hd.m3u8$订阅源
CCTV-15,http://107.150.60.122/live/cctv15hd.m3u8$订阅源
CCTV-15,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv15hd$订阅源
CCTV-15,http://207.56.13.146:81/cdnlive/cctv15.m3u8$订阅源
CCTV-15,http://38.75.136.137:98/gslb/dsdqbv/cctv15hd.m3u8?auth=test20251009$订阅源
CCTV-15,http://192.151.150.154/live/cctv15hd.m3u8$订阅源
CCTV-15,http://198.204.228.26/live/cctv15hd.m3u8$订阅源
CCTV-15,http://49.77.104.95:8554/rtp/239.49.1.15:6000$订阅源
CCTV-16,http://74.91.26.218:82/live/cctv16hd.m3u8$订阅源
