🕘️更新时间,#genre#
2026-07-06 07:17:39,rtmp://39.108.129.193:1935/cctv1/1sao$订阅源

📺央视频道,#genre#
CCTV-1,rtmp://39.108.129.193:1935/cctv1/1sao$订阅源
CCTV-1,http://198.204.240.250:82/live/cctv1.m3u8$订阅源
CCTV-1,http://198.204.240.250:82/live/cctv1.m3u8$订阅源
CCTV-1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$订阅源
CCTV-1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$订阅源
CCTV-1,http://221.220.133.22:8012/rtp/239.3.1.129:8008$订阅源
CCTV-1,http://221.220.133.22:8012/rtp/239.3.1.129:8008$订阅源
CCTV-1,http://39.77.26.10:4002/rtp/239.253.254.77:8000$订阅源
CCTV-2,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$订阅源
CCTV-2,http://221.220.133.22:8012/rtp/239.3.1.60:8084$订阅源
CCTV-2,http://39.77.26.10:4002/rtp/239.253.254.232:8000$订阅源
CCTV-2,http://39.77.158.96:4002/rtp/239.253.254.232:8000$订阅源
CCTV-2,http://39.77.158.70:4002/rtp/239.253.254.232:8000$订阅源
CCTV-2,http://114.226.212.145:8787/rtp/239.49.8.130:6000$订阅源
CCTV-2,http://112.109.206.208:9999/rtp/239.255.40.36:8208$订阅源
CCTV-2,http://114.226.212.143:8787/rtp/239.49.8.130:6000$订阅源
CCTV-3,http://173.208.212.130:8181/720p/cctv3.m3u8$订阅源
CCTV-3,http://173.208.212.130:8181/720p/cctv3.m3u8$订阅源
CCTV-3,http://198.204.228.26/live/cctv3hd.m3u8$订阅源
CCTV-3,http://198.204.228.26/live/cctv3hd.m3u8$订阅源
CCTV-3,http://221.220.133.22:8012/rtp/239.3.1.172:8001$订阅源
CCTV-3,http://39.77.26.10:4002/rtp/239.253.254.191:8000$订阅源
CCTV-3,http://39.77.158.96:4002/rtp/239.253.254.191:8000$订阅源
CCTV-3,http://39.77.158.70:4002/rtp/239.253.254.191:8000$订阅源
CCTV-4,http://192.151.150.154/live/cctv4hd.m3u8$订阅源
CCTV-4,http://192.151.150.154/live/cctv4hd.m3u8$订阅源
CCTV-4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd$订阅源
CCTV-4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd$订阅源
CCTV-4,http://173.208.212.130:8181/720p/cctv4.m3u8$订阅源
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub$订阅源
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub$订阅源
CCTV-4,http://198.204.228.26/live/cctv4hd.m3u8$订阅源
CCTV-5,http://192.151.150.154/live/cctv5hd.m3u8$订阅源
CCTV-5,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd$订阅源
CCTV-5,http://173.208.212.130:8181/720p/cctv5.m3u8$订阅源
CCTV-5,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009$订阅源
CCTV-5,http://107.150.60.122/live/cctv5hd.m3u8$订阅源
CCTV-5,http://221.220.133.22:8012/rtp/239.3.1.173:8001$订阅源
CCTV-5,http://39.77.26.10:4002/rtp/239.253.254.192:8000$订阅源
CCTV-5,http://39.77.158.96:4002/rtp/239.253.254.192:8000$订阅源
CCTV-5+,http://192.151.150.154/live/cctv5p.m3u8$订阅源
CCTV-5+,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5p$订阅源
CCTV-5+,http://173.208.212.130:8181/720p/cctv5p.m3u8$订阅源
CCTV-5+,http://107.150.60.122/live/cctv5p.m3u8$订阅源
CCTV-5+,http://198.204.228.26/live/cctv5p.m3u8$订阅源
CCTV-5+,http://221.220.133.22:8012/rtp/239.3.1.130:8004$订阅源
CCTV-5+,http://39.77.26.10:4002/rtp/239.253.254.80:8000$订阅源
CCTV-5+,http://39.77.158.96:4002/rtp/239.253.254.80:8000$订阅源
CCTV-6,http://198.204.240.250:82/live/cctv6.m3u8$订阅源
CCTV-6,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd$订阅源
CCTV-6,http://173.208.212.130:8181/720p/cctv6.m3u8$订阅源
CCTV-6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009$订阅源
CCTV-6,http://107.150.60.122/live/cctv6hd.m3u8$订阅源
CCTV-6,http://198.204.228.26/live/cctv6hd.m3u8$订阅源
CCTV-6,http://221.220.133.22:8012/rtp/239.3.1.174:8001$订阅源
CCTV-6,http://39.77.26.10:4002/rtp/239.253.254.193:8000$订阅源
CCTV-7,http://192.151.150.154/live/cctv7hd.m3u8$订阅源
CCTV-7,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd$订阅源
CCTV-7,http://173.208.212.130:8181/720p/cctv7.m3u8$订阅源
CCTV-7,http://107.150.60.122/live/cctv7hd.m3u8$订阅源
CCTV-7,http://198.204.228.26/live/cctv7hd.m3u8$订阅源
CCTV-7,http://221.220.133.22:8012/rtp/239.3.1.61:8104$订阅源
CCTV-7,http://39.77.26.10:4002/rtp/239.253.254.233:8000$订阅源
CCTV-7,http://39.77.158.96:4002/rtp/239.253.254.233:8000$订阅源
CCTV-8,http://192.151.150.154/live/cctv8hd.m3u8$订阅源
CCTV-8,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8hd$订阅源
CCTV-8,http://173.208.212.130:8181/720p/cctv8k.m3u8$订阅源
CCTV-8,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009$订阅源
CCTV-8,http://107.150.60.122/live/cctv8hd.m3u8$订阅源
CCTV-8,http://198.204.228.26/live/cctv8hd.m3u8$订阅源
CCTV-8,http://221.220.133.22:8012/rtp/239.3.1.175:8001$订阅源
CCTV-8,http://39.77.26.10:4002/rtp/239.253.254.194:8000$订阅源
CCTV-9,http://192.151.150.154/live/cctv9hd.m3u8$订阅源
CCTV-9,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd$订阅源
CCTV-9,http://173.208.212.130:8181/720p/cctv9.m3u8$订阅源
